customer_zip_code_prefix,customer_city,customer_state,geo_lat,geo_lng
1003,sao paulo,SP,-23.54899372481316,-46.635731309975874
1004,sao paulo,SP,-23.549798842277006,-46.63475694378971
1005,sao paulo,SP,-23.549456199830747,-46.6367329480369
1006,sao paulo,SP,-23.55010181145287,-46.636136735174176
1007,sao paulo,SP,-23.550046202351663,-46.637251459637646
1008,sao paulo,SP,-23.54600174938346,-46.63588592135778
1009,sao paulo,SP,-23.546835208320868,-46.636490695312204
1011,sao paulo,SP,-23.54690864025111,-46.63558202636042
1012,sao paulo,SP,-23.547789733146864,-46.63485900505736
1013,sao paulo,SP,-23.5471420283239,-46.63423580006204
1014,sao paulo,SP,-23.545912805690417,-46.63361537124495
1015,sao paulo,SP,-23.54766574938348,-46.63155857072268
1016,sao paulo,SP,-23.54897640702995,-46.63235192955855
1017,sao paulo,SP,-23.54953127194786,-46.63102384555224
1019,sao paulo,SP,-23.551774137807584,-46.63089338270138
1020,sao paulo,SP,-23.55233565155142,-46.630049709845736
1021,sao paulo,SP,-23.543000459064803,-46.63214323386248
1022,sao paulo,SP,-23.544921826153427,-46.631931335611945
1023,sao paulo,SP,-23.542330784361457,-46.63137340438761
1024,sao paulo,SP,-23.54140143278026,-46.62990400057277
1025,sao paulo,SP,-23.540291945676326,-46.630928059419446
1026,sao paulo,SP,-23.539657127270942,-46.6318842127058
1027,sao paulo,SP,-23.538082328385336,-46.6306686750678
1030,sao paulo,SP,-23.53954929175343,-46.63302325151354
1031,sao paulo,SP,-23.54190585344045,-46.63508761691669
1032,sao paulo,SP,-23.540124454559955,-46.63519354379768
1033,sao paulo,SP,-23.539271437077804,-46.635878084214845
1035,sao paulo,SP,-23.54161448873894,-46.64154914252652
1036,sao paulo,SP,-23.54164845233628,-46.641443277359336
1037,sao paulo,SP,-23.54541101645408,-46.63892437204837
1038,sao paulo,SP,-23.54390737962768,-46.63999380609391
1041,sao paulo,SP,-23.54390458746036,-46.64004648644472
1042,sao paulo,SP,-23.54485294953175,-46.640410456031695
1043,sao paulo,SP,-23.545765991186386,-46.64150246454141
1044,sao paulo,SP,-23.545598238423413,-46.64145267015315
1045,sao paulo,SP,-23.54234536617856,-46.64252697570119
1046,sao paulo,SP,-23.54593003916881,-46.64399751778182
1047,sao paulo,SP,-23.546187607081748,-46.64106743356168
1048,sao paulo,SP,-23.54711318884073,-46.63983987489639
1049,sao paulo,SP,-23.54701123674601,-46.63916570493306
1050,sao paulo,SP,-23.54922916358051,-46.64303023455153
1102,sao paulo,SP,-23.52557140695574,-46.63028748439394
1103,sao paulo,SP,-23.535468446052125,-46.630290773383486
